ram_mb,created_date
4096,1/8/2015 16:56
4096,5/14/2015 16:46
2048,1/29/2015 21:07
8192,12/15/2015 18:24
4096,10/21/2014 23:39
16384,5/22/2016 6:10
16384,2/4/2015 14:30
32768,8/30/2016 19:42
32768,2/5/2015 22:51
8192,8/17/2015 16:32
4096,8/15/2013 13:38
4096,10/16/2014 11:57
4096,9/24/2014 16:21
8192,10/11/2014 22:08
12288,4/28/2015 22:40
16384,11/19/2015 23:40
32768,3/9/2015 18:09
4096,8/10/2015 17:32
65536,2/22/2018 15:11
16384,8/5/2013 22:27
4096,9/12/2014 13:18
16384,10/28/2016 10:22
32768,8/14/2017 18:30
4096,7/18/2014 14:31
4096,7/11/2014 15:36
16384,8/27/2015 18:04
4096,4/3/2014 14:03
8192,5/18/2017 14:07
8192,10/12/2017 21:15
4096,10/8/2014 15:22
32768,7/27/2016 16:38
4096,2/12/2018 19:30
16384,10/24/2017 20:25
16384,10/26/2017 20:39
4096,2/4/2015 23:08
32768,1/27/2017 17:20
32768,2/22/2018 12:20
4096,8/12/2015 19:53
4096,2/3/2015 18:53
32768,11/30/2017 20:07
32768,1/9/2015 18:14
8192,3/8/2017 17:42
16384,8/29/2014 20:14
32768,8/14/2017 16:20
16384,1/20/2016 12:08
32768,8/15/2017 13:49
65536,12/26/2017 17:51
4096,6/3/2015 12:35
8192,8/10/2016 13:56
4096,5/15/2015 11:42
8192,12/5/2017 22:08
32768,7/31/2014 21:04
8192,6/20/2017 17:22
4096,8/15/2014 19:09
4096,8/15/2014 19:07
16384,8/27/2015 22:50
4096,7/16/2014 12:50
16384,3/13/2017 15:07
32768,11/18/2016 16:08
4096,9/6/2015 9:30
32768,11/14/2014 0:23
4096,8/11/2015 17:18
4096,8/13/2013 15:18
8192,5/4/2015 18:30
8192,12/6/2017 17:25
65536,12/20/2017 17:00
4096,9/3/2014 15:30
12288,5/29/2015 17:55
12288,4/8/2015 19:20
12288,6/22/2016 18:21
16384,10/26/2017 20:18
32768,1/27/2017 18:49
4096,10/27/2014 20:20
2048,6/26/2014 19:11
8192,1/13/2018 12:24
4096,8/7/2015 15:59
32768,11/30/2017 19:48
32768,11/15/2016 19:41
16384,2/7/2018 23:55
32768,2/5/2015 15:18
4096,7/18/2014 14:44
8192,8/11/2015 23:02
16384,1/20/2016 12:03
16384,5/22/2016 4:10
8192,8/21/2015 20:54
8192,2/3/2017 16:33
4096,7/16/2014 12:13
4096,8/7/2015 15:41
16384,11/3/2015 17:21
32768,1/20/2016 14:11
32768,2/2/2015 18:49
4096,8/20/2014 13:14
32768,8/15/2017 13:32
8192,8/16/2016 18:27
4096,8/22/2014 21:07
4096,9/3/2014 15:43
6144,8/15/2013 13:28
4096,8/15/2013 14:05
8192,6/19/2014 13:27
32768,8/15/2017 13:09
8192,4/10/2015 17:09
8192,8/15/2013 13:52
16384,5/20/2016 11:34
4096,1/11/2016 11:39
16384,7/6/2016 10:41
6096,8/4/2014 21:48
32768,6/1/2017 15:07
4096,8/24/2013 1:52
1024,6/12/2015 12:07
4096,7/18/2014 14:34
32768,2/5/2015 22:54
4096,3/8/2017 16:55
4096,8/12/2014 22:14
8192,2/6/2018 20:41
32768,10/7/2014 21:32
16384,7/17/2017 19:08
4096,12/15/2014 16:22
4096,8/12/2015 19:49
16384,8/27/2015 22:58
8192,1/20/2018 20:01
16384,4/23/2015 19:25
4096,8/13/2013 15:00
4096,7/15/2014 18:33
16384,1/20/2016 13:55
12288,6/22/2016 18:08
8192,3/10/2016 14:05
4096,9/11/2014 17:32
4096,12/15/2014 16:28
8192,6/19/2014 18:19
4096,2/3/2015 18:02
49152,10/30/2014 18:32
16384,10/11/2016 16:42
4096,8/5/2013 22:14
4096,2/4/2015 23:05
16384,8/22/2017 21:44
4096,9/19/2014 18:13
4096,2/9/2015 23:37
4096,6/6/2014 16:52
8192,5/2/2017 9:42
8192,8/13/2013 15:51
16384,2/4/2015 14:02
4096,2/3/2015 17:47
16384,5/4/2015 16:20
12288,9/26/2017 0:47
8192,10/16/2017 13:44
8192,2/22/2017 16:23
8192,3/17/2016 21:58
4096,1/5/2018 22:27
4096,6/26/2014 19:03
4096,11/17/2015 1:06
4096,12/15/2014 16:25
4096,6/26/2014 18:58
4096,5/5/2015 18:51
16384,7/9/2015 12:37
32768,2/5/2015 22:56
4096,2/5/2015 15:05
4096,6/16/2014 15:18
16384,4/29/2016 10:08
4096,7/16/2014 12:30
4096,4/14/2017 20:05
4096,7/8/2014 15:50
4096,9/25/2014 14:02
4096,11/16/2014 16:34
8192,6/6/2014 16:37
6096,8/4/2014 21:39
4096,10/8/2014 16:09
8192,7/15/2014 17:20
4096,6/26/2014 21:30
32768,5/12/2015 12:12
32768,10/30/2014 19:03
4096,8/16/2013 12:57
12288,1/22/2016 11:32
8192,5/19/2016 15:44
8192,3/11/2015 22:29
4096,4/7/2015 16:44
