ds,y,cap,floor
4/27/2018 16:00,19,28.5,-28.5
4/27/2018 15:00,19,28.5,-28.5
4/27/2018 14:00,19.2,28.5,-28.5
4/27/2018 13:00,19,28.5,-28.5
4/27/2018 12:00,19.1,28.5,-28.5
4/27/2018 11:00,19.5,28.5,-28.5
4/27/2018 10:00,19.8,28.5,-28.5
4/27/2018 9:00,20.5,28.5,-28.5
4/27/2018 8:00,21,28.5,-28.5
4/27/2018 7:00,21,28.5,-28.5
4/27/2018 6:00,20.9,28.5,-28.5
4/27/2018 5:00,20.9,28.5,-28.5
4/27/2018 4:00,20.8,28.5,-28.5
4/27/2018 3:00,20.5,28.5,-28.5
4/27/2018 2:00,20.1,28.5,-28.5
4/27/2018 1:00,20.4,28.5,-28.5
4/27/2018 0:00,20.1,28.5,-28.5
4/26/2018 23:00,20.3,28.5,-28.5
4/26/2018 22:00,20.2,28.5,-28.5
4/26/2018 21:00,19.9,28.5,-28.5
4/26/2018 20:00,19.7,28.5,-28.5
4/26/2018 19:00,19.5,28.5,-28.5
4/26/2018 18:00,19.2,28.5,-28.5
4/26/2018 17:00,19.2,28.5,-28.5
4/26/2018 16:00,19.3,28.5,-28.5
4/26/2018 15:00,19.3,28.5,-28.5
4/26/2018 14:00,19.3,28.5,-28.5
4/26/2018 13:00,19.4,28.5,-28.5
4/26/2018 12:00,19.5,28.5,-28.5
4/26/2018 11:00,20,28.5,-28.5
4/26/2018 10:00,19.8,28.5,-28.5
4/26/2018 9:00,20.1,28.5,-28.5
4/26/2018 8:54,19.7,28.5,-28.5
4/26/2018 8:00,20.7,28.5,-28.5
4/26/2018 7:00,21,28.5,-28.5
4/26/2018 6:00,21,28.5,-28.5
4/26/2018 5:00,21,28.5,-28.5
4/26/2018 4:00,20.9,28.5,-28.5
4/26/2018 3:00,20.9,28.5,-28.5
4/26/2018 2:00,20.7,28.5,-28.5
4/26/2018 1:00,20.8,28.5,-28.5
4/26/2018 0:00,20.8,28.5,-28.5
4/25/2018 23:00,21,28.5,-28.5
4/25/2018 22:00,20.5,28.5,-28.5
4/25/2018 21:00,20.3,28.5,-28.5
